year,authors,papers,active
2020,"('gui-bin bian', 'xiao-hu zhou')",6,36.92857142857143
2020,"('xiao-hu zhou', 'xiao-liang xie')",6,37.16666666666667
2020,"('xiao-hu zhou', 'zeng-guang hou')",6,36.875
2020,"('xiaodong liu', 'jianfeng gao')",5,30.576923076923073
2020,"('michael a. hedderich', 'dietrich klakow')",5,32.0
2020,"('kurt keutzer', 'sheng shen')",5,30.67873303167421
2020,"('weifang zhu', 'xinjian chen')",5,31.547619047619047
2020,"('alexey svyatkovskiy', 'neel sundaresan')",6,37.266666666666666
2020,"('long yu', 'shengwei tian')",7,42.80065359477124
2020,"('chenxi duan', 'rui li')",5,30.56980056980057
2021,"('zhixin li', 'huifang ma')",8,48.78468899521531
2021,"('guanghui wang', 'usman sajid')",5,31.333333333333332
2021,"('zhi-yan song', 'lu-ning zhang')",6,37.714285714285715
2021,"('ning cheng', 'jianzong wang')",6,37.06153846153846
2021,"('ning cheng', 'jing xiao')",6,36.787499999999994
2021,"('takayoshi yamashita', 'hironobu fujiyoshi')",5,30.714285714285715
2021,"('tsubasa hirakawa', 'takayoshi yamashita')",5,30.714285714285715
2021,"('tsubasa hirakawa', 'hironobu fujiyoshi')",5,30.714285714285715
2021,"('dongliang chang', 'zhanyu ma')",5,30.748663101604276
2021,"('yen-wei chen', 'yutaro iwamoto')",5,30.81168831168831
2021,"('yen-wei chen', 'lanfen lin')",5,30.857142857142858
2021,"('houwen peng', 'jianlong fu')",8,49.13333333333333
2021,"('hao li', 'pichao wang')",8,48.72874493927125
2021,"('fan wang', 'pichao wang')",8,48.954385964912284
2021,"('fan wang', 'hao li')",8,48.84102564102564
2021,"('li yuan', 'jiashi feng')",5,30.717391304347824
2021,"('zheng zhang', 'yue cao')",8,49.17460317460318
2021,"('han hu', 'yue cao')",8,49.55555555555556
2021,"('han hu', 'zheng zhang')",8,48.95238095238095
2021,"('han hu', 'ze liu')",7,43.583333333333336
2021,"('ze liu', 'yue cao')",7,43.77777777777778
2021,"('zheng zhang', 'ze liu')",7,43.25
2021,"('han hu', 'yutong lin')",5,31.416666666666664
2021,"('yutong lin', 'yue cao')",5,31.555555555555554
2021,"('jianlong fu', 'minghao chen')",5,30.833333333333336
2021,"('houwen peng', 'minghao chen')",5,31.125
2021,"('xiaojun chang', 'xiaodan liang')",5,30.767045454545453
2021,"('wengang zhou', 'houqiang li')",10,61.17647058823529
2021,"('yifan xu', 'zhuowen tu')",9,55.418181818181814
2021,"('weijian xu', 'yifan xu')",9,55.81818181818182
2021,"('weijian xu', 'zhuowen tu')",9,55.6
2021,"('hongsheng li', 'xiaogang wang')",7,42.45841995841996
2021,"('xiaogang wang', 'jifeng dai')",8,48.943488943488944
2021,"('hongsheng li', 'jifeng dai')",7,42.90559440559441
2021,"('herv', ' j')",12,73.41666666666666
2021,"(' j', 'gou')",12,73.55
2021,"('herv', 'gou')",12,73.46666666666667
2021,"('gou', 'hugo touvron')",9,55.292307692307695
2021,"(' j', 'hugo touvron')",9,55.25480769230769
2021,"('herv', 'hugo touvron')",9,55.19230769230769
2021,"('armand joulin', 'hugo touvron')",6,36.89010989010989
2021,"('armand joulin', 'gou')",6,36.82857142857143
2021,"('armand joulin', ' j')",6,36.80357142857143
2021,"('armand joulin', 'herv')",6,36.76190476190476
2021,"('xiyang dai', 'lu yuan')",11,67.4327731092437
2021,"('xiyang dai', 'bin xiao')",8,49.18681318681319
2021,"('bin xiao', 'lu yuan')",8,49.085972850678736
2021,"('jianwei yang', 'lu yuan')",5,31.127450980392158
2021,"('pengchuan zhang', 'lu yuan')",6,37.10294117647059
2021,"('pengchuan zhang', 'jianwei yang')",5,31.458333333333336
2021,"('pengchuan zhang', 'xiyang dai')",5,30.982142857142854
2021,"('salman h. khan', 'fahad shahbaz khan')",8,48.93333333333333
2021,"('rao muhammad anwer', 'fahad shahbaz khan')",5,30.666666666666668
2021,"('wenhai wang', 'enze xie')",6,37.266666666666666
2021,"('ding liang', 'enze xie')",5,31.555555555555554
2021,"('ding liang', 'wenhai wang')",5,31.5
2021,"('ding liang', 'ping luo')",5,31.25
2021,"('zizheng pan', 'jianfei cai')",5,31.217391304347828
2021,"('zizheng pan', 'jing liu')",5,31.142857142857142
2021,"('zizheng pan', 'bohan zhuang')",5,31.71428571428571
2021,"('bohan zhuang', 'jianfei cai')",5,30.93167701863354
2021,"('bohan zhuang', 'jing liu')",5,30.857142857142858
2021,"('bohan zhuang', 'haoyu he')",5,31.71428571428571
2021,"('zizheng pan', 'haoyu he')",5,32.0
2021,"('haoyu he', 'jianfei cai')",5,31.217391304347828
2021,"('ming tang', 'jinqiao wang')",6,37.12820512820513
2021,"('cordelia schmid', 'chen sun')",5,30.75
2021,"('jiwen lu', 'jie zhou')",10,60.79365079365079
2021,"('jiwen lu', 'yongming rao')",6,37.19047619047619
2021,"('xiatian zhu', 'tao xiang')",5,30.871212121212118
2021,"('feiyue huang', 'rongrong ji')",5,30.583333333333332
2021,"('yifan zhao', 'jia li')",6,37.21008403361345
2021,"('xiyang dai', 'mengchen liu')",6,37.17857142857143
2021,"('xiaoshuai sun', 'rongrong ji')",5,30.666666666666668
2021,"('nicola messina', 'claudio gennaro')",6,37.523809523809526
2021,"('fabrizio falchi', 'claudio gennaro')",6,37.523809523809526
2021,"('nicola messina', 'fabrizio falchi')",6,37.333333333333336
2021,"('giuseppe amato', 'fabrizio falchi')",5,31.180555555555554
2021,"('giuseppe amato', 'claudio gennaro')",5,31.339285714285715
2021,"('nicola messina', 'giuseppe amato')",5,31.180555555555554
2021,"('muhammad abdul-mageed', 'el moatez billah nagoudi')",5,31.071428571428573
2021,"('li dong', 'furu wei')",10,60.81871345029239
2021,"('mostafa dehghani', 'yi tay')",7,42.51279069767442
2021,"('donald metzler', 'yi tay')",9,54.65930232558139
2021,"('dara bahri', 'donald metzler')",8,48.870588235294115
2021,"('dara bahri', 'yi tay')",8,48.65663474692202
2021,"('dara bahri', 'mostafa dehghani')",5,30.544117647058822
2021,"('dara bahri', 'zhen qin')",5,30.84967320261438
2021,"('zhen qin', 'donald metzler')",5,30.805555555555557
2021,"('zhen qin', 'yi tay')",5,30.671834625322994
2021,"('jai prakash gupta', 'zhen qin')",5,31.180555555555554
2021,"('jai prakash gupta', 'dara bahri')",5,30.919117647058822
2021,"('jai prakash gupta', 'donald metzler')",5,30.875
2021,"('jai prakash gupta', 'yi tay')",5,30.741279069767444
2021,"('jin wang', 'xuejie zhang')",7,42.77101449275362
2021,"('ram', 'tahira naseem')",6,37.21212121212122
2021,"('n fernandez astudillo', 'tahira naseem')",6,37.416666666666664
2021,"('ram', 'n fernandez astudillo')",6,37.29545454545455
2021,"('xian wu', 'shen ge')",5,30.97222222222222
2021,"('fangzhao wu', 'yongfeng huang')",5,30.416666666666664
2021,"('chuhan wu', 'yongfeng huang')",5,30.446428571428573
2021,"('chuhan wu', 'fangzhao wu')",5,30.446428571428573
2021,"('potsawee manakul', 'mark j. f. gales')",5,31.333333333333332
2021,"('kurt keutzer', 'sheng shen')",5,30.67873303167421
2021,"('wen xiao', 'giuseppe carenini')",6,37.523809523809526
